year,isic4,output_IV,change_IP,inv_mu_j,mu_j,d_inv_mu_j,d_ln_mu_j,n_firms,dom_j,S_j,L_S_j,c_mfg_total_invmu,c_mfg_within_firm,c_mfg_between_firm,c_mfg_entry,c_mfg_exit,c_mfg_between_sector,c_mfg_decomp_sum,abs_component_max
2021,1920,,,.7742320299733102,1.2916024670724,.1052266707246323,-.1460795380606213,15,327327147.1728516,.0334713071460212,.0142148813103841,.0164047262997933,-.0004447057208924,-.0040054655872677,.0161610704597542,-.0092019697261867,.0138957968743859,.0164047262997933,.0161610704597542
2014,2599,.00077837612,.0030666031,.8725873577210778,1.146017061961204,.0140861120664578,-.0162746412242787,404,1453884006.667999,.0336609754212311,.051791365686301,-.0150908103547172,-.0001620202605159,.0126702286862887,.0034915006178923,-.0153978634170742,-.0156926559813081,-.0150908103547172,.0156926559813081
2011,3211,-.000087265573,,.8513369537330182,1.174623039226843,-.0218105101874269,.0252964573257235,15,506448743.3789063,.0096121720964966,.0272386201039104,-.0156001347530329,.0000191200976033,.0072589235773979,.0053504731971754,-.0130303841615276,-.015198267463682,-.0156001347530329,.015198267463682
2021,2599,,,.601940518874119,1.661293713655328,-.1123658941785441,.1711533856445349,280,666525231.6133652,.0681564940170481,.0453348855170398,.0086431559134329,-.0041605059177517,-.0002609348586834,.0005996949344445,-.0025545343294616,.0150194360848851,.0086431559134329,.0150194360848851
2014,2930,.00017673895,.00040003099,.8206952272613504,1.218479122069452,-.0090122136711255,.0109213386802611,205,3631912224.469727,.0840876628116464,.0799503947801641,.0026749060864888,-.0001910127994856,-.0089785178293324,.0150040321211898,-.0065736745049788,.0034140790990957,.0026749060864887,.0150040321211898
2015,2599,.0011035567,-.0013502948,.7564094893103221,1.32203523902348,-.1161778684107556,.1428798904614821,394,1952905932.266602,.051942103925245,.0336609754212311,.009917358702672,-.0002101647365671,-.0122424041445598,.0117921538688592,-.0043121766316675,.0148899503466072,.0099173587026721,.0148899503466072
2010,1920,,,.8244400905400128,1.212944410969867,.0168039330166421,-.0205928207843818,27,3182243005.96875,.0649533081605808,.0830175640092525,-.0134978751426006,.0016244597066197,-.0056699325883631,.0054229237529068,-.0001342045589855,-.0147411214547786,-.0134978751426006,.0147411214547786
2018,2420,,,.8591295757923846,1.163968775114847,.0886570687352752,-.1089157833623948,90,827256861.546875,.0366204117041961,.0210770588525266,.0152223843972721,-.0000413501252034,-.0101636707768581,.014535809227337,-.001773144018776,.0126647400907727,.0152223843972721,.014535809227337
2011,2599,-.0014000717,,.8557909258230364,1.168509702341461,-.0001159434155361,.0001354718292539,388,2110580035.940277,.0400578711944988,.0231181138705503,.0144942102103966,-.0001661717956159,-.0094671236268453,.0130496822314868,-.0034200492287698,.0144978726301407,.0144942102103965,.0144978726301407
2010,2599,,,.8559068692385725,1.168351412916705,-.1054269206632599,.1161601120648133,324,1132620620.244171,.0231181138705503,.0360286614936848,-.0148486172331707,-.0002990295256798,.0069654023213899,.0045681991228694,-.014352403115486,-.0117307860362643,-.0148486172331707,.014352403115486
2016,2790,,.18746334,.6940359107197374,1.44084763418505,-.0466852775149559,.0651005865792204,65,86149895.65673828,.0024399776252841,.0217942859759677,-.0144500573115457,.0000393499996953,.0052296691936527,.0023445059724616,-.0081792168266071,-.0138843656507482,-.0144500573115457,.0138843656507482
2023,1430,,,1.009399319775778,.9906882047653197,.3771444886235328,-.4678181732897881,1,68572.3359375,.0002350643296678,.0163778524353364,-.0101177025516698,-.0000566752174811,.0084293891817304,0,-.0052399789653078,-.0132504375506112,-.0101177025516698,.0132504375506112
2023,1709,,,.8655810578566014,1.15529330375627,.0949356564376541,-.1161726771712941,3,504189.984375,.0017283512233028,.0169514406719209,-.0115675217210278,-.0000760005772854,.0081105261774929,0,-.0071478364473616,-.0124542108738737,-.0115675217210278,.0124542108738737
2015,2930,.000082681574,.00060956739,.7259293468062942,1.377544528816023,-.0947658804550562,.1226991275297583,198,2579693972.340332,.0686129988099894,.0840876628116464,-.0192021541325233,-.0004838246609612,-.0063059689434761,.0016915926947158,-.0021372054126005,-.0119667478102014,-.0192021541325233,.0119667478102014
2022,2420,,,.8446062338910374,1.183983683607301,.0501604224766454,-.0612257443405292,44,283374178.4064941,.0471770365713797,.0331039005944319,.013546764015968,.0005172521238718,.0034457438911433,.0000444741815287,-.0019940073340147,.0115333011534389,.013546764015968,.0115333011534389
