year,ppi,isic4,output_IV,Z_input,apparent_consumption,change_IP,ls_pre_filled,post2016,HHI_dom,inv_mu_j,mu_j,ln_mu_j,d_inv_mu_j,d_ln_mu_j,n_firms,dom_j,within_inv_mu,between_inv_mu,entry_inv_mu,exit_inv_mu,neg_exit_inv_mu,decomp_total_j,decomp_gap_j,dom_M,S_j,L_S_j,dS_j,S_bar_j,inv_mu_bar_j,ln_mu_lag_j,dln_dom_j,inv_mu_M,mu_M,ln_mu_M,d_inv_mu_M,d_ln_mu_M,c_mfg_total_invmu,c_mfg_within_firm,c_mfg_between_firm,c_mfg_entry,c_mfg_exit,c_mfg_between_sector,c_mfg_decomp_sum,c_mfg_decomp_gap,c_BF_AE_mu,valid_sector_bfs,w_sector_valid,wden_sector,wS_bfs,mean_lnmu_sec,mean_dlny_sec,bfs_sector_cov_contrib,bfs_firm_cov_contrib,bfs_firm_within_sector_cov
2011,250.25417,2511,-.00013190336,.0052454682596004,5731163.5,,.57211804,0,.0560527,.8674789013718722,1.152765788791581,.1421640886420493,-.0069620976964943,.0079936336530847,98,212870146.6911621,-.0215053673217146,-.1345727247497033,.2023548438231096,.0532388494481863,-.0532388494481863,-.0069620976964946,3.88578058619e-16,52720547971.2946,.0040377074002923,.003613643742409,.0004240636578833,.0038256755713507,.8709599502201193,.1341704549889646,.1842661004141988,.7957488835954395,1.256677854804761,.2284716157798389,-.0167639794149762,.0208480822737139,.0003427077352774,-.0000822725584156,-.000514831585645,.0007741439827585,-.0002036745657807,.0003693424623602,.0003427077352774,1.40946282423e-18,-.0000288861442296,1,.003613643742409,.9999679462905113,.0036137595768086,.2140537083613425,-.0447624509821984,-.0000661157038502,.0000762432378585,.0000274482268341
2012,253.34833,2511,.00046673961,-.0066722676272573,5556014,.00095887168,.57211804,0,.062945448,.8589818497080046,1.16416895227755,.1520074867810621,-.0084970516638676,.0098433981390128,105,219771282.9865112,.0080474591489929,.1004445888658766,.0804709486373944,.1974600483161313,-.1974600483161313,-.0084970516638675,-1.38777878078e-16,48138250426.83725,.0045654189971139,.0040377074002923,.0005277115968216,.0043015631987031,.8632303755399384,.1421640886420493,.0319050429253309,.8230434608768082,1.215002666972988,.1947462718295989,.0272945772813687,-.0337253439502401,.0004189860751663,.0000346166541184,.0004320687469743,.0003461508712233,-.0008493868770508,.0004555366799011,.0004189860751663,-7.04731412116e-19,-.0000397447615099,1,.0040377074002923,.9999999999999999,.0040377074002923,.2456764570343572,-.2119017941355933,-.0001018997150712,-.0000229849017685,.0000443771974791
2013,270.61667,2511,-.00042727328,-.0017742617481389,6116355,-.00067633181,.57211804,0,.055293858,.8162162882622289,1.225165454770643,.2030758999951106,-.0427655614457757,.0510684132140485,101,219381931.574646,.0044735405606859,-.1087958568936494,.1749872692902935,.1134305144031061,-.1134305144031061,-.0427655614457761,4.44089209850e-16,38495355544.19742,.0056989194793322,.0045654189971139,.0011335004822183,.0051321692382231,.8375990689851167,.1520074867810621,-.0017731921387423,.8204841007790834,1.218792660394588,.1978607461180024,-.0025593600977248,.0031144742884035,.0007299388496929,.0000229589672515,-.0005583587499957,.0008980642805323,-.0005821445966954,.0009494189486002,.0007299388496929,2.27682456222e-18,-.0002331487038399,1,.0045654189971139,.9999710684385569,.0045655510856357,.2005205586575264,-.33708992349744,-.0000742689366538,.0000281539368945,.0000443940110646
2014,301.05499,2511,.00012125331,.0090889301014521,5982849.5,.002745792,.57211804,0,.054105263,.8719924929651568,1.146798863599802,.1369744640951269,.0557762047029279,-.0661014358999837,93,228148759.7617188,-.0043466251685588,.0500279848013462,.1136561302155544,.1035612851454138,-.1035612851454138,.0557762047029279,-5.55111512313e-17,43193072503.97827,.0052820683164113,.0056989194793322,-.0004168511629209,.0054904938978717,.8441043906136929,.2030758999951106,.0391836806509858,.8274373802738019,1.208550669621786,.1894218479794279,.0069532794947185,-.0084388981385745,-.0000456269852861,-.0000238651189643,.0002746783452746,.0006240282894042,-.0005686026041467,-.000351865896854,-.0000456269852861,-2.16840434497e-19,.0003767067606622,1,.0056989194793322,1,.0056989194793322,.2018425284670537,.0487115498836623,-6.69702973840e-08,.0000881687897673,.0000733036550416
2015,330.53915,2511,.00045302845,-.0035567494163669,5813190,-.00037702825,.57211804,0,.045372732,.6821923766001816,1.465862173634459,.3824435837885817,-.1898001163649752,.2454691196934548,84,167637306.1080322,-.0014775282860358,.0030428702817181,.0812977041298648,.2726631624905221,-.2726631624905221,-.1898001163649749,-2.49800180541e-16,37598970672.26463,.0044585610486324,.0052820683164113,-.0008235072677788,.0048703146825219,.7770924347826692,.1369744640951269,-.308195117871545,.7305283574578674,1.368872254979745,.3139872293006585,-.0969090228159345,.1245653813212307,-.0015643275612562,-7.19602770532e-06,.0000148197358101,.000395945402079,-.0013279554036604,-.0006399412677795,-.0015643275612562,-1.08420217249e-18,-.0012965846597902,1,.0052820683164113,1,.0052820683164113,.1942880597131819,-.1772452845594487,.0000396430097258,.0000217401106579,.0000343773207704
2016,353.94751,2511,-.00080163969,.0012770664180373,5856762.5,-.000036587007,.57211804,1,.043678313,.6767539122235398,1.477641993548887,.3904475696052268,-.0054384643766419,.008003985816645,70,160323329.3627319,.0122871690034579,-.0216013640194458,.1321679028955898,.1282921722562442,-.1282921722562442,-.0054384643766422,3.53883589099e-16,35308734262.97771,.00454061389368,.0044585610486324,.0000820528450476,.0044995874711562,.6794731444118607,.3824435837885817,-.0446101687578846,.71100448297842,1.406460892920068,.3410765440251872,-.0195238744794474,.0270893147245286,.0000312818584609,.0000552871917039,-.0000971972269018,.000594701039958,-.0005772618509316,.0000557527046324,.0000312818584609,1.54498809579e-18,-.0000356862593959,1,.0044585610486324,.999884768658954,.00445907487381,.3413568653443097,-.1350208142320806,.0000165640216932,-.0000519616573995,-.0000450779648499
2017,418.72168,2511,-.000091579452,-.0049975784030281,6297448.5,.0028986791,.57211804,1,.037277479,.6846663702200623,1.460565384098805,.378823610141298,.0079124579965225,-.0116239594639287,83,177937016.3568115,.0042535900592502,-.1255669112731712,.1760425629750355,.046816783764592,-.046816783764592,.0079124579965225,0,33110351575.41279,.0053740600111581,.00454061389368,.0008334461174781,.0049573369524191,.6807101412218011,.3904475696052268,.1042370623196476,.6964436494116977,1.435866348763067,.3617683944025606,-.0145608335667223,.0206918503773735,.0006065599447399,.0000210864791812,-.0006224774892556,.0008727023026347,-.0002320865721496,.0005673352243293,.0006065599447399,1.08420217249e-19,.0000527799118415,1,.00454061389368,.9999969061919777,.0045406279415112,.3641137588137997,-.1394129161899887,.0000291337242664,-.0000283238033895,-.0000188324528588
2018,536.84918,2511,-.00027230565,-.0079393449460952,4365868.5,-.0020634127,.57211804,1,.045837477,.7426843317371791,1.346467075265942,.2974841808843669,.0580179615171168,-.0813394292569311,76,117339969.15625,-.0045212071666328,.0745793616285147,.0371256900056095,.0491658829503747,-.0491658829503747,.0580179615171168,4.85722573274e-17,22593021692.82323,.0051936376971445,.0053740600111581,-.0001804223140136,.0052838488541513,.7136753509786207,.378823610141298,-.4163542063438825,.6855391816725854,1.458705828542418,.377549623812213,-.0109044677391122,.0157812294096523,.0001777951812044,-.0000238893753068,.0003940660744842,.0001961665345957,-.0002597850942907,-.000128762958278,.0001777951812044,2.71050543121e-19,.0004371229741001,1,.0053740600111581,.9998832927146301,.0053746872763198,.3763055049511462,-.5052536225365065,1.20316718135e-06,.0000925728061862,.0000507745475963
2019,620.78998,2511,.00026720791,.0006005753887308,3228883.3,-.00053943042,.57211804,1,.050285306,.7437761752326786,1.344490497678506,.2960151291514213,.0010918434954995,-.0014690517329456,73,70628376.39746094,.0094312870954302,.1083207611258237,.0477805861821489,.1644407909079029,-.1644407909079029,.0010918434954999,-3.74700270811e-16,19451951218.6379,.0036309147397917,.0051936376971445,-.0015627229573528,.0044122762184681,.7432302534849289,.2974841808843669,-.5076434449181981,.708845050759099,1.410745548592184,.3441183225136916,.0233058690865136,-.0334313012985213,-.0011566454646306,.0000416134437607,.0004779411182818,.000210821144116,-.000725558191069,-.0011614629797201,-.0011566454646306,-1.73472347598e-18,7.62972245928e-06,1,.0051936376971445,1,.0051936376971445,.3927693494369202,-.204022684625251,.0001502548227122,-8.85136349281e-06,-.000042469266707
2020,733.96997,2511,,,,,.57211804,1,.069701105,.8109817534337307,1.233073365419084,.2095097239684945,.0672055782010521,-.0865054051829268,66,56276638.70043945,.0032042282127192,.1011473841292697,.0542151690217117,.0913612031626493,-.0913612031626493,.0672055782010513,8.32667268469e-16,15269459372.46808,.0036855685147511,.0036309147397917,.0000546537749594,.0036582416272714,.7773789643332046,.2960151291514213,-.2271524898424637,.6914015408144923,1.446337534657457,.3690345229542955,-.0174435099446066,.0249162004406038,.0002883409387348,.000011721841031,.0003700215711113,.0001983321881448,-.0003342213565272,.0000424866949749,.0002883409387348,3.03576608296e-18,.0003140937507503,1,.0036309147397917,.9999870816574683,.0036309616457979,.3671576882058946,-.3166795987238156,-.0000231262760015,-.0000713965956679,-.0000242497858102
