year,ppi,isic4,output_IV,Z_input,apparent_consumption,change_IP,ls_pre_filled,HHI_dom,d_inv_mu_j,n_firms,dom_j,within_inv_mu,between_inv_mu,entry_inv_mu,exit_inv_mu
2015,247.77167,1393,-.0020641712,-.0017692123014754,1173144.8,-.0046722982,.39964047,.026889605,-.2278395037131812,44,266722144,-.0112391448197036,-.1702060497434283,.1474889005768349,.1938832097268845
2016,261.06082,1393,.0014533187,-.0007207492936843,1088278.3,-.0077802734,.48893285,.052968644,-.0467382344291261,44,256233520,-.0045609794299459,-.0685302673299801,.2040049753853789,.177651963054579
2017,301.72665,1393,-.00027282836,-.0009228318314456,1034371.8,-.00031374022,.48893285,.062077008,.1158928117572319,49,311488480,-.0022789753722513,.0054666960228469,.1801595414269148,.0674544503202785
2018,374.36749,1393,.00016290216,-.0004333763602915,,,.48893285,.071332552,-.0233161848607916,41,216869552,-.0013099525635189,.0605110007553903,.0523761079657549,.1348933410184177
2019,436.29501,1393,.0013848483,.0001229966441709,,,.48893285,.08533702,.0656097360768081,43,223366496,.0198509273660498,.0503949644889096,.0754327076684996,.0800688634466509
2020,494.91501,1393,,,,,.48893285,.094778568,-.1538542549564741,42,137794800,-.0281117282473737,.0684430870369615,.0287870933969802,.2229727071430422
2021,706.63086,1393,,,,,.48893285,.09460263,.0175191411402138,33,94249672,.0175215980023929,.0069808304458212,.1346674457843713,.1416507330923719
2022,1479.6217,1393,,,,,.48893285,.22989282,.132387223543161,20,44611840,.00512215309161,.323575486832311,.0004496167318992,.1967600331126588
2023,2108.3809,1393,,,,,.48893285,.50535619,.0636946424123158,2,2837338.5,-.0030198474409326,.7711532162369621,0,.7044387263837136
2009,140.03334,1394,,,,,.55313218,.76516801,,12,200406480,0,0,0,0
2010,164.17,1394,,,,,.55313218,.73323095,.0407106275061596,12,181592640,.0401738313245694,.0086486230195738,.0095059454772716,.0176177723152552
2011,191.9975,1394,.00098316884,-.0003567666621755,98874.359,,.55313218,.0016055261,-.809903295996821,15,34871216,.0001650211742952,-.0534975464603702,.0096866159599363,.7662573866706822
2012,202.62833,1394,.00055207446,-.0002366420096249,94547.641,-.020483827,.55313218,.635764,.8130155577304357,15,289421824,-.000920406666396,.0295015888587639,.7892705604475934,.0048361849095255
2013,214.5625,1394,-.0015577428,-.001287614154549,104559.66,.0035754181,.55313218,.51051265,-.0279154480287801,15,183885968,-.0304510359320461,.0115959271829014,.0046166992722721,.0136770385519075
2014,231.86166,1394,-.00049394084,-.0008053348170334,100350.41,.010423915,.55313218,.46389055,-.0128456867308396,15,202352272,.0008912618031459,.0004459800092954,.0033130109611983,.0174959395044793
2015,247.77167,1394,.0002212429,-.0017692123014754,88906.938,-.0042872205,.55313218,.41769907,.00371294876141,18,190810816,-.0079029747823325,-.0028484401556796,.0192594193860584,.0047950556866362
2016,261.06082,1394,.00011134089,-.0007207492936843,102803.2,-.008054601,.48893285,.29700643,-.1030043476086114,18,154740144,-.0067600015628129,-.1008648397032189,.0074792043978952,.0028587107404748
2017,301.72665,1394,.00020517522,-.0009228318314456,107728.57,-.00027740374,.48893285,.032783836,-.4581226704795103,21,63103108,-.0089746735175719,-.0349952337503418,.0148074831422351,.4289602463538317
2018,374.36749,1394,.0007157998,-.0004333763602915,,,.48893285,.3411153,.5084238525006499,20,99217744,-.0131112795351375,.0972895812673775,.4611589139755171,.0369133632071071
2019,436.29501,1394,.0011231148,.0001229966441709,,,.48893285,.36010483,.0621337512600176,20,80593864,.0469531949572161,.0101533645796556,.0121424805027211,.0071152887795753
2020,494.91501,1394,,,,,.48893285,.28191623,-.0380242305705971,24,75811744,-.0194370139864784,-.048648052620015,.0750379754576607,.0449771394217644
2021,706.63086,1394,,,,,.48893285,.32585636,-.0216608871732574,14,51546772,-.0218233856650501,.0827383945554713,0,.0825758960636787
2022,1479.6217,1394,,,,,.48893285,.33611012,.0121638410142205,8,32736030,.0387911370194826,.0766844141716337,0,.1033117101768955
2009,140.03334,1399,,,,,.48131615,.14141925,,79,981541248,0,0,0,0
2010,164.17,1399,,,,,.48131615,.11100544,-.0139509253077162,110,1208601600,.0017805498865478,-.0733320878990319,.062727787163158,.0051271744583902
2011,191.9975,1399,-.00047527449,-.0003567666621755,3434204.3,,.48131615,.10958776,.0117513467457697,137,1173408128,-.0302692547513548,.0518733061457843,.0479949582709561,.0578476629196161
2012,202.62833,1399,.0014471638,-.0002366420096249,3340904.8,-.0047766957,.48131615,.052084938,.0018364523278952,135,824100800,.0091476914108318,.1680848742184324,.1474233641972286,.322819477498597
2013,214.5625,1399,-.00039439826,-.001287614154549,3711823.5,.0021447148,.48131615,.028842211,.0021586511451317,127,546439872,-.0078861172297078,.0923191368015045,.0821135064069997,.1643878748336644
2014,231.86166,1399,.0012846467,-.0008053348170334,3829583.5,.0094672777,.48131615,.036279295,.0335645000909021,108,563528384,.0089102875451625,.1408402710180547,.0153969736423114,.131583032114627
2015,247.77167,1399,.0015108729,-.0017692123014754,3339088.8,-.0027979277,.48131615,.024541052,-.1759682778943367,99,488131648,-.0151451719359187,-.1233099958358351,.1106247983905894,.1481379085131722
2016,261.06082,1399,.00026251722,-.0007207492936843,3209176.3,-.00027320534,.48893285,.032211915,.0802285677681442,92,419750784,.0043847955679801,.0846754251752678,.1126273385924275,.1214589915675308
2017,301.72665,1399,-.000079134472,-.0009228318314456,3458606.5,-.0031107888,.48893285,.024271112,-.0695471788203693,95,362504576,-.0161160187278839,-.0867584792238795,.1041864630047939,.0708591438734
2018,374.36749,1399,-.00043797682,-.0004333763602915,,,.48893285,.023589004,.0435443802357055,103,326077056,-.0100397614756015,-.0406854209944981,.1527620609563455,.058492498250541
2019,436.29501,1399,.0011328335,.0001229966441709,,,.48893285,.040918149,.0430806871178239,108,387038240,.0109172257025502,-.0538789106065236,.1731380451766023,.0870956731548048
2020,494.91501,1399,,,,,.48893285,.029954683,-.0818888868154005,93,213193440,-.0221337688307918,-.015547415077186,.0210301429018737,.0652378458092965
2021,706.63086,1399,,,,,.48893285,.046297505,.0335373264727201,66,139995728,-.005649711223154,.1780556344243713,0,.1388685967284971
2022,1479.6217,1399,,,,,.48893285,.038901098,.0039585213640764,42,69621992,.0408164452501766,.1716501783083,0,.2085081021944003
2023,2108.3809,1399,,,,,.48893285,.11718803,-.2483379414287076,3,3118337.8,.017669155431276,.3970880870981632,0,.6630951839581465
2009,125.715,1410,,,,,.67367506,.040671576,,166,700742528,0,0,0,0
2010,123.69583,1410,,,,,.67367506,.027055025,.0746369067912901,207,864449344,.118052271230119,-.1345658211479278,.2390951104970363,.1479446537879373
2011,132.10333,1410,-.00017725356,-.0003567666621755,12149620,,.67367506,.028448751,-.0547424357519682,263,1056062656,-.0144291732379635,-.0754836506288837,.1564214703136004,.1212510821987217
2012,135.81,1410,-.0011435216,-.0002366420096249,12134805,-.0049128458,.67367506,.030132737,.0147203932657924,262,1097778176,.0140371076904891,.0433737637174325,.1065791034945771,.149269581636706
2013,151.67416,1410,-.00094515242,-.001287614154549,12514872,-.0022141431,.67367506,.037063282,.0307259813224864,274,1030001792,-.0105764928801898,-.0646320887632322,.2305923519878331,.1246577890219249
