isic4,year,inv_mu_j,ln_mu_j,HHI_dom,CR4_dom,CR10_dom,n_firms,dom_j,change_IP,output_IV,Z_input,ls_pre_filled,post2016,mu_j,d_inv_mu_j,d_ln_mu_j,ls_pre_x_post2016,S_jt,q75_dln_mu_model,q80_dln_mu_model,q85_dln_mu_model,q90_dln_mu_model,counterfactual_label,scenario,observed_output_shock,observed_input_shock,output_shock_model,input_shock_model
1420,2014,0.9089034009741443,0.0955164600070643,0.14836005178635023,0.6857808128761588,0.937839594089061,18,128881992.0,0.0040830486,-0.0046521756,-0.0008053348170333763,0.60917085,0.0,1.1002269316279598,-0.042066904228581725,0.04524401826969639,0.0,0.003073533531278372,-0.022060870154057048,-0.02032518914788927,-0.00593658068024322,0.03626821250857703,output-competition counterfactuals,observed,,,,
1420,2015,0.9315444358159894,0.07091138657210846,0.19357094575721334,0.7236027457892976,0.9087476595193004,21,118759784.0,-0.012556796,-0.019160317,-0.0017692123014754202,0.60917085,0.0,1.0734860963707509,0.022641034841845098,-0.02460507343495584,0.0,0.0032341368496418,0.007639801344061614,0.00965322367346863,0.05203542704956565,0.151574869930085,output-competition counterfactuals,observed,,,,
1420,2016,0.9336383396829362,0.06866613235456424,0.16090088418697074,0.6981358941051459,0.9045119221430844,24,163847856.0,0.008564558,-0.0020000117,-0.0007207492936842641,0.60917085,1.0,1.071078550972532,0.0020939038669467447,-0.002245254217544221,0.6091708540916443,0.004699159879237413,-0.0033229246236024176,0.0,0.0,0.043949978379165686,output-competition counterfactuals,observed,,,,
1420,2017,0.9079442371819011,0.09657231506194988,0.1900546507392051,0.7548596495405557,0.9476596187164816,21,156796112.0,0.024564097,-0.000889271,-0.0009228318314455919,0.60917085,1.0,1.1013892252940818,-0.0256941025010351,0.027906182707385638,0.6091708540916443,0.004804191179573536,0.0,0.0,0.0,0.03514237005749182,output-competition counterfactuals,observed,,,,
1420,2018,0.886022996256672,0.12101237357091424,0.2569858672222568,0.8196143284527625,0.9664952513782259,19,96676432.0,-0.0074276775,0.0034956296,-0.00043337636029150417,0.60917085,1.0,1.1286388775741323,-0.02192124092522907,0.024440058508964357,0.6091708540916443,0.004333687014877796,0.025415994257543345,0.04452332270266758,0.07508736502889368,0.10780566552041944,output-competition counterfactuals,observed,,,,
1420,2019,0.9516713033780355,0.04953557337091721,0.3030223580638463,0.8801206750154147,0.9973530588297415,12,76176752.0,0.04251063,-0.0056314846,0.00012299664417092515,0.60917085,1.0,1.0507829714423644,0.06564830712136349,-0.07147680019999703,0.6091708540916443,0.003953260835260153,-0.02213491517598601,-0.019935140195440963,0.043247408585693196,0.14127725668144994,output-competition counterfactuals,observed,,,,
1430,2011,0.8332645782130418,0.1824040663421237,0.06797589210428999,0.44889243157889663,0.6922534394873019,83,252762432.0,,,,0.61435676,0.0,1.2000990155426106,,,0.0,0.004935016389936209,0.0,0.0,0.19269173735048517,0.2764962185457243,output-competition counterfactuals,observed,,,,
1430,2012,0.7878074101302638,0.23850162238362332,0.060734534416396646,0.43756789030934734,0.6537691567599349,96,310873536.0,-0.049123943,,,0.61435676,0.0,1.2693457654005187,-0.045457168082778,0.05609755604149963,0.0,0.006627681199461222,0.0,0.009643268477667999,0.12324993746100714,0.3388568622548718,output-competition counterfactuals,observed,,,,
1430,2013,0.9440309291345856,0.05759634945960574,0.043867838053455094,0.3382309214392611,0.5378609811561338,92,199907584.0,0.047980722,,,0.61435676,0.0,1.0592873274996641,0.15622351900432185,-0.1809052729240176,0.0,0.005329277832061052,0.0,0.0,0.0,0.023206699543749723,output-competition counterfactuals,observed,,,,
1430,2014,0.9199505158352422,0.08343539752123709,0.03851870466567562,0.29872860579326965,0.519108464401384,88,256163872.0,,,,0.61435676,0.0,1.0870149891617584,-0.024080413299343406,0.02583904806163135,0.0,0.006108907982707024,0.0,0.01858411021609538,0.06614429847197205,0.10804379050825158,output-competition counterfactuals,observed,,,,
1430,2015,0.9469303770990142,0.05452970792956392,0.03782640141296116,0.29727064436742584,0.5153699418789984,84,237882832.0,,,,0.61435676,0.0,1.0560438488239952,0.026979861263771943,-0.028905689591673167,0.0,0.0064781662076711655,0.0,0.0,0.004817500115498535,0.05269670383491036,output-competition counterfactuals,observed,,,,
1430,2016,0.9201996183276964,0.0831646560318869,0.034624177242414164,0.275121575475329,0.4698998043217721,85,235385536.0,,,,0.61435676,1.0,1.0867207289406695,-0.02673075877131781,0.028634948102322977,0.6143567562103271,0.006750862114131451,0.0,0.0,0.027339524582808673,0.10330775605449738,output-competition counterfactuals,observed,,,,
