isic4,year,markup_dispersion_wedge,counterfactual_label,scenario
1313,2019,0.06442948151828465,output-competition counterfactuals,observed
1391,2011,0.0246770171192456,output-competition counterfactuals,observed
1391,2012,0.04138081423164648,output-competition counterfactuals,observed
1391,2013,0.04783210211379886,output-competition counterfactuals,observed
1391,2014,0.042438156804526665,output-competition counterfactuals,observed
1391,2015,0.05419185116543042,output-competition counterfactuals,observed
1391,2016,0.053646322414368855,output-competition counterfactuals,observed
1391,2017,0.05350516539907106,output-competition counterfactuals,observed
1391,2018,0.07087027494005185,output-competition counterfactuals,observed
1391,2019,0.05603433132213529,output-competition counterfactuals,observed
1392,2011,0.023629569751735555,output-competition counterfactuals,observed
1392,2012,0.06463916318561405,output-competition counterfactuals,observed
1392,2013,0.026456504989230932,output-competition counterfactuals,observed
1392,2014,0.037151590936232756,output-competition counterfactuals,observed
1392,2015,0.03893504792776477,output-competition counterfactuals,observed
1392,2016,0.049606960796336995,output-competition counterfactuals,observed
1392,2017,0.050788029049496586,output-competition counterfactuals,observed
1392,2018,0.037685300312357534,output-competition counterfactuals,observed
1392,2019,0.044259032930081384,output-competition counterfactuals,observed
1393,2011,0.04408544818713489,output-competition counterfactuals,observed
1393,2012,0.07232904077821643,output-competition counterfactuals,observed
1393,2013,0.025063655198189948,output-competition counterfactuals,observed
1393,2014,0.008264929761936941,output-competition counterfactuals,observed
1393,2015,0.004743170139295649,output-competition counterfactuals,observed
1393,2016,0.014786086622904688,output-competition counterfactuals,observed
1393,2017,0.0144178992035162,output-competition counterfactuals,observed
1393,2018,0.01954896107109277,output-competition counterfactuals,observed
1393,2019,0.016050698105435402,output-competition counterfactuals,observed
1394,2011,0.012380441433878595,output-competition counterfactuals,observed
1394,2012,0.005321047636143447,output-competition counterfactuals,observed
1394,2013,0.0004551023795373414,output-competition counterfactuals,observed
1394,2014,0.0013211116347135508,output-competition counterfactuals,observed
1394,2015,0.0014641780174394748,output-competition counterfactuals,observed
1394,2016,0.0037399246184069753,output-competition counterfactuals,observed
1394,2017,0.05360957849741012,output-competition counterfactuals,observed
1394,2018,0.006633110081362146,output-competition counterfactuals,observed
1394,2019,0.0164942807336434,output-competition counterfactuals,observed
1399,2011,0.07821403571106272,output-competition counterfactuals,observed
1399,2012,0.13424934222423274,output-competition counterfactuals,observed
1399,2013,0.037202955922202734,output-competition counterfactuals,observed
1399,2014,0.057760616316687524,output-competition counterfactuals,observed
1399,2015,0.05755762901079245,output-competition counterfactuals,observed
1399,2016,0.12847471466134872,output-competition counterfactuals,observed
1399,2017,0.04686442082559314,output-competition counterfactuals,observed
1399,2018,0.04969144272214329,output-competition counterfactuals,observed
1399,2019,0.12348688112386307,output-competition counterfactuals,observed
1410,2011,0.25752543921967,output-competition counterfactuals,observed
1410,2012,0.3774325760145744,output-competition counterfactuals,observed
1410,2013,0.18621964637028401,output-competition counterfactuals,observed
1410,2014,0.23738091351092264,output-competition counterfactuals,observed
1410,2015,0.16827343656163982,output-competition counterfactuals,observed
1410,2016,0.17549376099736327,output-competition counterfactuals,observed
1410,2017,0.2093023753160641,output-competition counterfactuals,observed
1410,2018,0.12264610261022002,output-competition counterfactuals,observed
1410,2019,0.10594948185371215,output-competition counterfactuals,observed
1420,2011,0.03617468338367625,output-competition counterfactuals,observed
1420,2012,0.016903658445085047,output-competition counterfactuals,observed
1420,2013,0.006093112280519282,output-competition counterfactuals,observed
1420,2014,0.010587559714970647,output-competition counterfactuals,observed
1420,2015,0.008652893577451377,output-competition counterfactuals,observed
1420,2016,0.0077550953602197065,output-competition counterfactuals,observed
1420,2017,0.01441015410592161,output-competition counterfactuals,observed
1420,2018,0.0192835858059308,output-competition counterfactuals,observed
1420,2019,0.009346153118167257,output-competition counterfactuals,observed
1430,2011,0.08089138308426963,output-competition counterfactuals,observed
1430,2012,0.1389526912658251,output-competition counterfactuals,observed
1430,2013,0.047923162628975675,output-competition counterfactuals,observed
1430,2014,0.015385936498453524,output-competition counterfactuals,observed
1430,2015,0.011554225182544755,output-competition counterfactuals,observed
1430,2016,0.016526091934058452,output-competition counterfactuals,observed
1430,2017,0.013592500855881163,output-competition counterfactuals,observed
1430,2018,0.017406684411135444,output-competition counterfactuals,observed
1430,2019,0.013178911268214969,output-competition counterfactuals,observed
1511,2011,0.003556536520419583,output-competition counterfactuals,observed
1511,2012,0.013842598808077491,output-competition counterfactuals,observed
1511,2013,0.004646146799040085,output-competition counterfactuals,observed
