isic4,year,within_inv_mu,between_inv_mu,entry_inv_mu,exit_inv_mu,d_inv_mu_j_components,n_firms,dom_j,ls_pre_filled,post2016,change_IP,output_IV,Z_input,ls_pre_x_post2016,within_inv_mu_abs_share,between_inv_mu_abs_share,entry_inv_mu_abs_share,exit_inv_mu_abs_share,counterfactual_label,scenario
2825,2018,-0.03888480592037926,-0.032829307272312556,0.07136215393451914,0.028608081856518017,-0.028960041114690693,37,3.9443772e+07,0.51492834,1.0,,7.008638931438327e-05,-0.0046422219067210335,0.5149283409118652,0.2264901032071624,0.1912189868595645,0.4156590531224389,0.1666318568108342,output-competition counterfactuals,no_output
2825,2019,-0.0024486356775775013,0.22609406811430596,0.06282845221916822,0.2207632772111911,0.06571060744470558,40,3.0781208e+07,0.51492834,1.0,,0.0005192209500819445,0.0012809268926474715,0.5149283409118652,0.004781236173032142,0.44147406119867655,0.12267960938276445,0.4310650932455268,output-competition counterfactuals,no_output
2826,2011,0.0,0.0,0.0,0.0,0.0,36,1.3300615e+08,0.5304944,0.0,,0.0029462266247719526,0.0031979348873232283,0.0,,,,,output-competition counterfactuals,no_output
2826,2012,0.02675375830765752,0.3465075638346502,0.013028245541965692,0.32992560709174207,0.05636396059253135,30,8.5813496e+07,0.5304944,0.0,-0.003875959664583206,-0.025216495618224144,-0.004466696404311188,0.0,0.03735435836866249,0.4838037171482924,0.018190407018449536,0.4606515174645956,output-competition counterfactuals,no_output
2826,2013,-0.07289131015259462,-0.043398220950276796,0.06285629818546856,0.04358247844742155,-0.0970157113648244,31,8.3068936e+07,0.5304944,0.0,-0.00013488160038832575,-0.004438792821019888,-0.0006859536312759928,0.0,0.3272655860119531,0.1948482498316433,0.28221063961047765,0.19567552454592596,output-competition counterfactuals,no_output
2826,2014,-0.06402942502554719,0.09355803351866895,0.0023974968383142694,0.06627993376494644,-0.034353828433510404,25,8.161728e+07,0.5304944,0.0,0.005958287511020899,-0.0003466219350229949,0.00644134923082973,0.0,0.2829843607941025,0.41348895920696255,0.010595973804630416,0.2929307061943046,output-competition counterfactuals,no_output
2826,2015,0.11217433025387691,-0.08845751647881181,0.08147799390501113,0.0073190376842589295,0.0978757699958173,34,8.695523e+07,0.5304944,0.0,0.020224597305059433,-0.005134266801178455,-0.0019814523594128275,0.0,0.387571312524989,0.30562781776188985,0.2815130071933442,0.025287862519776896,output-competition counterfactuals,no_output
2826,2016,-0.029785036482412184,0.027920047606128012,0.03497700070145459,0.05877522864533445,-0.025663216820164036,30,7.2634e+07,0.51492834,1.0,0.04640397056937218,-0.0007693717489019036,0.0011902902913334401,0.5149283409118652,0.1966563106583169,0.1843426835776378,0.23093636027281983,0.3880646454912254,output-competition counterfactuals,no_output
2826,2017,-0.02951884380716982,0.002687113313347312,0.020033116358891073,0.035080546288990516,-0.04187916042392195,31,5.2630336e+07,0.51492834,1.0,-0.037585798650979996,0.0016478054458275437,-0.0026988221838095687,0.5149283409118652,0.3380551116171121,0.030773305248859868,0.22942285378733554,0.4017487293466925,output-competition counterfactuals,no_output
2826,2018,-0.013936077568696033,0.015802247927697504,0.04967617082291963,0.09664506719567525,-0.04510272601375416,28,4.9293572e+07,0.51492834,1.0,,0.005786580499261618,-0.0046422219067210335,0.5149283409118652,0.07915547040141116,0.08975512384677824,0.2821554809698853,0.5489339247819254,output-competition counterfactuals,no_output
2826,2019,-0.07174774508102587,-0.054639401734795784,0.05719330606360121,0.016180734487737273,-0.0853745752399577,31,5.146753e+07,0.51492834,1.0,,0.002940852427855134,0.0012809268926474715,0.5149283409118652,0.35916759419913663,0.2735236131449741,0.2863084006328025,0.08100039202308684,output-competition counterfactuals,no_output
